osm_type,osm_id,lat,lon,housenumber,street,unit,city,state,postcode,country,full_address,nearest_segment_id,nearest_from_node,nearest_to_node,nearest_street_name,distance_to_road_m
node,4353269469,29.6082515,-82.4556354,4653,Southwest 105th Drive,,Gainesville,FL,,US,"4653 Southwest 105th Drive, Gainesville FL, US",81349,84896155,84896155,Southwest 105th Drive,59.2
way,294234920,29.64030570766498,-82.37153024903273,1309,Blue Circle,,Gainesville,FL,32612,,"1309 Blue Circle, Gainesville FL 32612",108354,2654220485,3041198338,Blue Circle,59.22
node,13485226949,29.127824,-82.2195032,6150,SW 60th Ave,1315,Ocala,FL,34474,,"6150 SW 60th Ave #1315, Ocala FL 34474",55553,98834931,3605917109,Southwest 59th Street,59.24
way,1224700152,29.1375480312473,-82.19521792251437,4610,Southwest 46th Court,,Ocala,FL,34474,,"4610 Southwest 46th Court, Ocala FL 34474",66807,1405188887,2003851433,Southwest 60th Street Road,59.24
node,13485226918,29.1276621,-82.219019,6150,SW 60th Ave,1420,Ocala,FL,34474,,"6150 SW 60th Ave #1420, Ocala FL 34474",72349,3605917109,3605917104,Southwest 60th Avenue,59.33
way,970704124,29.6225570627544,-82.38528703839529,4075,Southwest 33rd Place,,Gainesville,FL,32608,US,"4075 Southwest 33rd Place, Gainesville FL 32608, US",88695,84823986,3817102102,Southwest 33rd Place,59.38
node,13485226955,29.127824,-82.2196268,6150,SW 60th Ave,1316,Ocala,FL,34474,,"6150 SW 60th Ave #1316, Ocala FL 34474",55553,98834931,3605917109,Southwest 59th Street,59.41
way,962984021,29.68956364999655,-82.44975328218051,9700,Northwest 39th Avenue,,Gainesville,FL,32606-7324,,"9700 Northwest 39th Avenue, Gainesville FL 32606-7324",112278,7282053339,2751280705,Northwest 97th Boulevard,59.48
way,1377788309,29.02524341537373,-82.11194848588019,1950,CR 484,,Belleview,FL,34421,,"1950 CR 484, Belleview FL 34421",33851,2922293437,2922293468,,59.49
way,462870343,29.63783575651358,-82.34898470876922,1549,Gale Lemerand Drive,,Gainesville,FL,32611,,"1549 Gale Lemerand Drive, Gainesville FL 32611",103031,84909927,1382202009,Archer Road,59.54
way,918127011,29.658327290439274,-82.4217727002302,7451,West Newberry Road,,Gainesville,FL,32605,,"7451 West Newberry Road, Gainesville FL 32605",109245,3801402431,84888306,Northwest 75th Street,59.54
way,264182366,29.650898109703302,-82.34412556917553,125,Buckman Drive,,Gainesville,FL,32611,,"125 Buckman Drive, Gainesville FL 32611",99290,84878767,7038320550,Buckman Drive,59.55
node,13241547870,29.8523301,-82.5905102,7,,,,,,,7,87127,84792376,7930170695,Northwest 212 Avenue,59.55
node,4165814717,29.6278417,-82.4617481,11231,Southwest 27th Avenue,,Gainesville,FL,,US,"11231 Southwest 27th Avenue, Gainesville FL, US",111010,6060333070,7025986089,Southwest 27th Avenue,59.56
way,294245617,29.641196748116684,-82.37013825322687,1202,Orange Drive,,Gainesville,FL,32612,,"1202 Orange Drive, Gainesville FL 32612",86155,84743127,3041198338,Orange Drive,59.6
node,13485226924,29.12777,-82.219019,6150,SW 60th Ave,1431,Ocala,FL,34474,,"6150 SW 60th Ave #1431, Ocala FL 34474",72349,3605917109,3605917104,Southwest 60th Avenue,59.62
way,784956127,29.634222667043232,-82.33865181817177,1901,Southwest 13th Street,,Gainesville,FL,32608,,"1901 Southwest 13th Street, Gainesville FL 32608",106126,1383093540,1383084368,Southwest 13th Street,59.68
way,784955863,29.62949361917223,-82.33864490922684,2435,Southwest 13th Street,,Gainesville,FL,32608,,"2435 Southwest 13th Street, Gainesville FL 32608",106123,1383084608,2089578739,Southwest 13th Street,59.73
node,2554057894,29.6784124,-82.3384118,2815,NW 13th Street,,Gainesville,FL,32609,US,"2815 NW 13th Street, Gainesville FL 32609, US",106657,1998040902,84763057,Northwest 13th Street,59.76
way,864194600,29.63363151125831,-82.36646366754732,2027,Natural Area Drive,,Gainesville,FL,32611,,"2027 Natural Area Drive, Gainesville FL 32611",108495,2977631331,3005474320,Surge Area Drive;Citrus Road;Natural Area Drive,59.79
way,150858517,29.646788345990675,-82.34030452373614,1367,Inner Road,,Gainesville,FL,32612,,"1367 Inner Road, Gainesville FL 32612",104122,84921148,84903417,Inner Road,59.83
way,284659297,29.649082743871972,-82.35707173509263,408,Fraternity Drive,,Gainesville,FL,32612,,"408 Fraternity Drive, Gainesville FL 32612",96543,84863807,84882467,Fraternity Drive,59.87
way,150860049,29.648228951079957,-82.34288966898474,435,Newell Drive,,Gainesville,FL,32611,,"435 Newell Drive, Gainesville FL 32611",104353,84923224,84921148,Newell Drive,59.92
way,717259080,29.65663163999524,-82.39080028601104,4410,West Newberry Road,,Gainesville,FL,32607,US,"4410 West Newberry Road, Gainesville FL 32607, US",109219,3801402415,84877136,Newberry Road,59.95
way,1031001788,29.80445073610671,-82.60005707632725,16206,Northwest 160th Avenue,,High Springs,FL,32643,,"16206 Northwest 160th Avenue, High Springs FL 32643",98155,84871408,84935051,Northwest 243rd Way,59.97
