node_id,lat,lon,incident_streets
98758162,29.1957768,-81.9304714,Pine Street
98758164,29.195757,-81.9310645,Sycamore Street
98758166,29.1957458,-81.9315118,Cypress Street;Main Entrance Road
98758263,29.0488291,-81.8972696,Fisher Lane Way
98758264,29.0480892,-81.8972866,Guava Pass
98758266,29.0476651,-81.8973032,
98758368,29.0958548,-82.0153302,Bahia Court Trace
98758379,29.0493153,-81.9919855,Cardinal Drive;Eagle Road
98758382,29.0491616,-81.991546,
98758509,29.2816566,-82.0011432,Northeast 90th Street Road;Northeast 92nd Avenue Road
98758553,29.1295927,-82.0743272,Southeast 57th Lane
98758555,29.1286872,-82.0743152,Southeast 58th Place
98758560,29.1637105,-82.1432756,Southwest 6th Avenue
98758580,29.1625358,-82.1433523,Southwest 6th Avenue
98758582,29.1626894,-82.1447922,Southwest 29th Street;Southwest 7th Avenue
98758586,29.0468267,-81.9126287,Guava Terrace Trace;Guava Terrace Trail
98758587,29.0449379,-81.9139505,Bay Court Pass;Guava Terrace Trace
98758596,29.0449521,-81.9114511,Bay Court;Bay Court Pass
98758599,29.0464728,-81.9111139,Bay Court Pass;Guava Terrace Trail
98758601,29.303353,-81.969388,Northeast 105th Street
98758841,29.0125166,-82.009626,Southeast 143 Lane
98759119,29.0545214,-81.8968889,Fisher Lane;Guava Trail
98759125,29.0557198,-81.8968847,Southeast 113th Street Road
98759169,29.055703,-81.8997038,Fisher Lane Pass;Southeast 113th Street Road
98759173,29.0545463,-81.8996995,Fisher Lane;Fisher Lane Pass
98759202,29.0516809,-81.9122298,Magnolia Drive Lane;Magnolia Drive Terrace
98759204,29.0520373,-81.9117665,Bay Place Lane;Magnolia Drive Lane
98759205,29.052551,-81.9118413,Bay Place Lane;Magnolia Drive
98759209,29.051925,-81.8921784,Fisher Lane Way
98759212,29.0545613,-81.8922306,Fisher Lane
98759219,28.9644245,-81.7602928,
98759250,29.157215,-82.1360131,Southeast 31st Street;Southwest 31st Street;Wooten Circle
98759267,29.047544,-81.965913,Southeast 112th Avenue Road
98759276,29.04847,-81.966563,
98759379,28.9725811,-81.7364627,Southeast 172nd Avenue;Southeast 252nd Avenue
98759381,28.9722343,-81.7364415,
98759473,29.1101146,-82.0429697,Pine Course Loop;Willow Road
98759475,29.1106515,-82.0421757,Pine Course;Pine Course Loop
98759676,29.0189939,-81.800903,Southeast 214 Avenue
98759680,29.0136957,-82.1364183,South Magnolia Avenue
98759682,29.013657,-82.13892,
98759686,29.0147611,-82.1364157,South Magnolia Avenue
98759688,29.0147838,-82.1393615,
98759731,29.0160442,-82.1364172,South Magnolia Avenue
98759732,29.0160374,-82.1398289,
98759758,29.0196594,-82.1364226,South Magnolia Avenue
98759760,29.0196413,-82.1395579,
98759897,29.2672541,-81.9229853,
98759901,29.18293,-81.71209,
98759903,29.182994,-81.711973,
98759907,29.1830269,-81.7115047,
98759909,29.1830082,-81.711156,
98759912,29.2670425,-81.9190096,Salt Springs Highway
98759930,29.181013,-81.7122986,
98759989,29.2040027,-82.1198832,Northeast 17th Road;Northeast 17th Street
98759991,29.2044846,-82.1198642,
98760060,29.2657249,-82.132366,West Anthony Road
98760076,29.0146943,-81.8073641,Southeast 142nd Lane;Southeast 210th Avenue
98760080,29.0148668,-81.8080634,Southeast 142nd Lane;Southeast 209th Terrace
98760286,29.1593445,-82.0332849,Pecan Run;Southeast 64th Avenue Road
98760288,29.158537,-82.0335389,Pecan Run Lane;Southeast 64th Avenue Road
98760291,29.1577469,-82.0337871,Pecan Run Harbor;Southeast 64th Avenue Road
98760314,29.15502,-82.0330154,Pecan Pass;Pecan Run
98760318,29.1542252,-82.0332608,Pecan Pass Trail;Pecan Run
98760344,29.1503599,-82.0325135,Pecan Road;Pecan Run Terrace
98760357,29.0142931,-82.1364008,South Magnolia Avenue
98760359,29.014289,-82.135908,
98760613,29.2885395,-81.8406544,Nfr 86A
98760771,29.2889389,-81.9866395,Northeast 100th Avenue;Northeast 95th Street
98760803,29.2928734,-81.986639,Northeast 100th Avenue
98760809,29.011003,-82.1364095,South Magnolia Avenue;Southeast 145th Street;Southwest 145th Street
98761353,29.0987385,-82.0797531,Southeast 84th Lane Road
98761361,29.105306,-82.087049,80th Lane
98761437,29.1231607,-82.0372628,Cedar Run
98761461,29.043927,-81.905714,Bay Pass Terrace;Buana Pass Lane
98761462,29.043927,-81.906652,Bay Terrace Lane
98761463,29.043927,-81.907645,Bay Terrace Pass
98761773,29.1062659,-82.0918761,Southeast 80th Street
98761778,29.2334711,-82.0949285,Northeast 45th Street
98761782,29.232544,-82.0951886,Northeast 44th Place
98761870,29.2063571,-82.1421137,Northwest 20th Street;Pine Avenue
98761877,29.2072491,-82.1422597,Pine Avenue
98761889,29.0532624,-81.8832162,Guava Pass Terrace
98761893,29.052525,-81.8831914,Fisher Run Lane
98761904,29.05212,-81.880568,Fisher Run
98761977,29.3332843,-81.7611874,Salt Springs Highway
98762063,29.0291422,-82.0201842,Southeast 132nd Lane
98762542,29.1349155,-82.0347208,Hemlock Road;Pine Court Loop
98762549,29.1368758,-82.0325439,Hemlock Radial Trail
98762565,29.1389416,-82.0348179,Hemlock Road
98762586,29.1993805,-81.9195507,Northeast 14th Street Road
98762650,29.0424156,-81.9181127,Southeast 122nd Lane Road;Southeast 139th Court;Southeast 141st Avenue Road
98762900,28.9642274,-81.9765655,Southeast 105th Terrace;Southeast 106th Avenue
98762901,28.963367,-81.9754126,Southeast 106th Court;Southeast 178th Street
98762904,28.9634051,-81.974522,106th Terrace;Southeast 178th Street
98762905,28.963392,-81.9736602,Southeast 107th Court;Southeast 178th Street
98762908,28.9634021,-81.9725985,107th Terrace;Southeast 178th Street
98762910,28.9633957,-81.9716235,108th Court;Southeast 178th Street
98762912,28.9633841,-81.9708283,Southeast 108th Terrace;Southeast 178th Street
98762914,28.963487,-81.9703435,Southeast 109th Avenue;Southeast 178th Street
98763332,29.2625329,-81.886286,North Highway 314A
98763340,29.263519,-81.883264,
98763580,29.0875915,-81.9700556,Oak Lane
98763582,29.0875891,-81.9693979,
98763593,28.9729546,-81.9187749,Southeast 170th Street
98763688,29.0340637,-82.0847536,Southeast 37th Court
98763936,29.092207,-81.708727,
98764172,29.0745893,-81.9140018,
98764186,29.0768716,-81.9043928,Southeast 100 Street
98764195,29.0739753,-81.9544995,Locust Road
98764200,29.0761841,-81.954373,Locust Loop Trace
98764267,29.1499519,-82.0890619,Southeast 34th Court;Southeast 38th Street
98764300,29.2265796,-82.0577867,55th Court;Northeast 40th Lane;Northeast 38th Place;Northeast 40th Lane;55th Court
98764330,29.1716121,-82.1364394,Southeast 17th Street;Southwest 16th Place
98764339,29.1716609,-82.1350501,Southeast 17th Street;Southwest 15th Place
98764380,29.1734644,-81.8597337,Southeast 14th Street;Southeast 175th Avenue;Southeast 14th Street;Southeast 176th Court
98764382,29.1718644,-81.8598172,Southeast 176th Avenue;Southeast 176th Court
98764386,29.1725153,-81.861779,Southeast 176th Avenue
98764418,29.1529863,-81.8822938,
98764420,29.1535615,-81.8839486,Southeast 162nd Court;Southeast 162nd Court;Southeast 38th Street
98764542,29.1600253,-82.1433952,Southwest 6th Avenue
98764546,28.9858655,-82.0868368,Southeast 36th Avenue
98764549,28.9857097,-82.0921409,
98764574,29.231188,-81.969145,Northeast 43rd Street
98764576,29.2307,-81.969642,
98765342,29.0677992,-81.8312505,National Forest Road 591;National Forest Road 591B
98765571,28.9800006,-81.9278028,Southeast 166 Place
98765573,28.980496,-81.927804,
98765761,29.1380151,-82.0125478,Bahia Trace;Bahia Trace Course
98765764,29.1337812,-82.0119804,Bahia Trace Course;Hickory Loop
98765771,29.0501109,-81.7753355,
98765832,29.2847816,-82.0785796,Northeast 41st Court;Northeast 92nd Place
98765849,29.1663649,-82.1052957,Southeast 22nd Place;Southeast 24th Terrace
98765851,29.1655233,-82.1052961,Southeast 23rd Street;Southeast 24th Terrace
98765958,29.1380436,-82.0181879,Bahia Trace
98766294,29.277261,-81.92289,
98766310,29.2713441,-81.9194593,
98766312,29.271204,-81.918273,
98766313,29.2699398,-81.9169405,
98766314,29.2691518,-81.9161207,Salt Springs Highway
98766341,29.273439,-81.917792,
98766355,29.1812213,-81.7093095,
98766638,29.1868074,-81.8725194,East Fort King Street
98766640,29.188175,-81.872511,
98766675,29.1537558,-81.8839804,Southeast 162nd Court;Southeast 34th Place
98766677,29.1537478,-81.8881818,Southeast 160th Avenue;Southeast 34th Place
98767081,29.008008,-82.13442,Southeast 1st Avenue Road
98767407,29.000137,-81.718722,
98767422,29.0049245,-81.7179287,
98767439,29.1239327,-82.0342482,Pine Trace Run
98767440,29.1235857,-82.0347125,
98767453,29.1213895,-82.0459995,Dogwood Drive
98767454,29.12167,-82.0464587,
98767876,29.139655,-82.0213969,Fir Drive
98767901,29.0293526,-81.9751601,Southeast 107th Court;Southeast 132nd Place
98768091,29.182793,-81.707388,
98768105,29.0630019,-81.8908787,Guava Circle
98768119,29.1271594,-81.6533372,National Forest Road 562-1
98768127,29.1337797,-81.6465838,National Forest Road 562-1;National Forest Road 599-1
98768134,29.1262011,-81.651692,
98768149,29.1726943,-81.8383601,Forest Drive;Southeast 15th Lane
98768151,29.1729708,-81.8384393,
98768433,29.25869,-82.1437451,Northwest 69th Street
98768436,29.2595062,-82.1437342,Northwest 70th Street
98768479,29.0726517,-81.9558192,Locust Crossing Road;Locust Radial Crossing
98768666,29.0118532,-81.8080672,Southeast 144th Lane;Southeast 209th Terrace
98768671,29.0121783,-81.8073299,Southeast 144th Lane;Southeast 210th Avenue
98768824,29.1743599,-82.0666632,Southeast 14th Street;Southeast 48th Avenue;Southeast 15th Street;Southeast 49th Avenue;Southeast 14th Street
98768991,28.9604686,-81.9731569,Southeast 106th Court;Southeast 179th Lane
98768994,28.9604445,-81.9721788,106th Terrace;Southeast 179th Lane
98768996,28.9604297,-81.9702342,107th Terrace;Southeast 179th Lane
98768997,28.9605568,-81.9690625,108th Court;Southeast 179th Lane
98769037,29.0850044,-82.0092063,
98769098,29.0974942,-81.8921342,
98769120,29.0963418,-81.8919326,South Highway 314A
98769165,28.9843177,-81.7869523,Half Moon South;Southeast County Road 42
98769383,29.048238,-81.965135,
98769386,29.047854,-81.965102,Southeast 112th Avenue Road
98769427,29.000812,-81.7301283,Southeast 152nd Place;Southeast 152nd Place;257th Court
98769431,28.999043,-81.7300803,153rd Place
98769433,28.9981301,-81.7300789,
98769692,29.2141895,-81.6524823,
98769947,29.1641157,-82.1343586,Southeast 24th Street;Southeast 3rd Avenue
98770038,29.2266005,-82.061437,Northeast 38th Place
98770040,29.2265467,-82.0570666,Northeast 38th Place;Northeast 53rd Avenue;Northeast 53rd Avenue;Northeast 55th Avenue
98770042,29.2265376,-82.0536649,Northeast 38th Place;Northeast 58th Avenue
98770071,29.0202867,-81.908451,Ocala Road
98770073,29.020287,-81.907397,
98770154,29.0989353,-81.9043266,Southeast 85th Street
98770211,29.1187611,-82.0498216,Dog Drive Lane
98770227,29.1196197,-82.0498187,Dogwood Drive Pass
98770753,29.1908595,-81.9536692,Northeast 122nd Terrace
98771017,29.0234204,-81.9084616,Ocala Road
98771025,29.023541,-81.909761,
98771038,29.024398,-81.910005,
98771045,29.1158368,-81.8419694,High Tension Road
98771060,29.1159945,-81.8462002,
98771286,29.0401784,-82.1364574,South Magnolia Avenue;Southeast 125th Street
98771390,28.9793156,-81.7407023,Southeast 167th Place;Southeast 249th Terrace
98771391,28.9798549,-81.7407139,
98771497,28.9628509,-81.9334238,Southeast 132nd Court
98771503,28.996541,-81.8240632,Southeast 155th Street;Southeast 200th Avenue
98771510,28.9965693,-81.8278112,
98772015,29.1424298,-81.8836964,Southeast 45th Place
98772189,29.2029007,-81.8741276,Northeast 168th Court
98772196,29.2029242,-81.8733938,Northeast 168th Terrace
98772365,29.011577,-81.8056163,Southeast 145th Street;Southeast 211th Avenue
98772576,29.154565,-82.0347752,Pecan Pass Trail;Southeast 64th Avenue Road
98772614,29.280597,-81.905133,Northeast 151st Avenue
98772869,29.2698571,-82.0993065,Northeast 27 Terrace
98773233,29.156151,-82.034283,Pecan Run Course;Southeast 64th Avenue Road
98773234,29.1569472,-82.0340371,Pecan Run Drive;Southeast 64th Avenue Road
98773249,29.1601893,-82.0330278,Redwood Road;Southeast 64th Avenue Road
98773263,29.1629865,-82.0309176,Redwood Track Run;Southeast 64th Avenue Road
98773408,29.0952999,-82.0141437,Spring Loop
98773409,29.095459,-82.0144736,
98773493,28.9969505,-81.7041624,Nicatoon Retreat Road;Southeast 155 Street
98773503,29.000838,-81.7073007,Southeast 155th Street
98773516,28.9783675,-82.0847082,Southeast 167th Place;Southeast 40th Avenue
98773659,29.1573469,-82.0468683,Almond Road;Banyan Road
98773675,29.168629,-82.0332331,Cherry Pass
98773686,29.2380776,-82.1019239,Northeast 49th Place
98773703,28.965589,-81.9580213,Southeast 117th Circle
98773705,28.9657225,-81.957912,Southeast 117th Circle
98773781,29.058474,-81.9542686,120th Avenue;Southeast 114th Street
98773846,29.2816776,-81.9866481,Northeast 100th Avenue;Northeast 90th Street Road
98774167,29.2408548,-81.8752846,North Highway 314A;Northeast 49th Street Road
98774453,29.0741093,-81.9506091,Locust Terrace Place
98774455,29.0741167,-81.9515556,Locust Terrace Run
98774456,29.0741241,-81.9524984,Locust Terrace Pass
